duration,protocol_type,service,src_bytes,dst_bytes,flag,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,label
129,udp,smtp,13488,10422,SH,1,1,0,3,2,0,2,1,0,5,2,1,2,1,178,186,0.22895730875700537,0.1245019936918288,0.4459735150105043,0.8821758757886216,0.9570841616427703,0.6465535353419896,0.7134995471905632,215,75,0.8759141771113197,0.6491543330501953,0.6447110479567484,0.9242604842711426,0.8039012963824924,0.5582572573993787,0.8070626034170167,0.4696790734076698,probe
87,tcp,http,29119,15072,SH,0,0,0,4,0,1,7,0,1,2,3,0,3,1,93,61,0.4053571261962017,0.8152973362866984,0.7063800182628762,0.5330139802434417,0.42345743589874585,0.4178295156640527,0.8025424971596946,113,62,0.7406063346160638,0.010488141496142522,0.8638088728462002,0.6868216096398334,0.22702555503370314,0.894680049851062,0.845432935862911,0.4027485465113051,probe
236,udp,ftp,45644,888,SF,0,0,0,3,1,1,5,1,0,5,3,1,3,1,47,178,0.7223962957812028,0.5019470150420058,0.716003584384713,0.5101421271051555,0.3012722946036793,0.30700734721694223,0.0714988063788129,47,79,0.21988690684058565,0.440728176526867,0.6195729097249407,0.49950198430875137,0.44657789767855716,0.9769321473112861,0.09039563284766927,0.6618087019590722,normal
180,udp,ftp,30879,25873,RSTO,0,1,2,2,2,0,3,0,0,0,4,0,4,0,41,77,0.14108599828086965,0.500440641489205,0.16634873197689015,0.40235687903404316,0.9134607614450589,0.19401068428786516,0.5373791214748995,135,209,0.3054512721236896,0.11391679904386143,0.47365458270444405,0.7050939885040759,0.26559820251348165,0.07644120199309745,0.44131142388928213,0.5865385475462533,normal
189,tcp,ssh,21143,36937,SF,0,0,0,0,4,0,3,1,0,1,0,1,4,1,61,163,0.761108645745687,0.11159490136211292,0.6934208761146345,0.25513438183019344,0.16974669560204203,0.3793527088123452,0.3021838320089254,34,251,0.9426372402305507,0.19240052465304758,0.16851129161843859,0.83763014144099,0.761661699740118,0.1076164510761366,0.20630769844851882,0.7511611696873797,r2l
143,icmp,smtp,35422,27774,S0,1,1,1,1,2,1,2,1,0,9,1,0,1,1,145,31,0.46416014970581587,0.03932596313478398,0.4789938054139523,0.07931832369861969,0.33273758897408146,0.34439491025606517,0.8910615128129519,214,39,0.5587038104636864,0.9648372677031688,0.564403050749098,0.440507362229567,0.05473295400479761,0.8452445155489644,0.30751756036177413,0.7701485660060892,dos
152,icmp,http,16092,20592,SH,1,1,1,0,4,0,7,1,0,7,3,0,1,1,135,157,0.9944879669823723,0.16543686237002508,0.24012130988915215,0.6575650632120925,0.9981985828377619,0.9332181159693598,0.9268692369733241,46,52,0.2923138871547887,0.020494028273713272,0.25876505804479,0.3304663174733966,0.9268537451096304,0.13770802973351104,0.9839970882262746,0.864723705382781,normal
119,icmp,smtp,2808,22375,RSTO,0,0,2,1,2,0,9,0,0,5,1,1,3,1,99,40,0.5268407495945786,0.25668635864965195,0.019903808715719284,0.9071682727271281,0.02379757102852742,0.07037330169265832,0.9541425705176926,182,126,0.7943407886075228,0.7413042289291712,0.7872461557091244,0.29008712537564685,0.05442180149940834,0.6526878634266498,0.3275301016923212,0.12402139899541365,r2l
124,icmp,http,47952,7902,REJ,1,1,1,0,1,0,6,0,1,2,0,1,0,0,98,28,0.6945947239392938,0.6313076080490865,0.9468913234865219,0.0956448989292017,0.7974006521428213,0.47122405238714193,0.7667951384165455,159,144,0.732227473300176,0.9462086516496293,0.5249402572491467,0.2746458428950663,0.5153923687183684,0.12043266661714846,0.8924713874499265,0.4133521405298286,normal
273,udp,smtp,48741,33174,RSTO,0,2,2,1,2,0,2,0,1,1,2,1,4,1,129,186,0.5546574424966406,0.19086388267976528,0.2823296591779746,0.6345382975418686,0.39687240833608906,0.9605525146645938,0.7149615120098312,153,136,0.6261504296847904,0.16873904420659036,0.050993129432532314,0.09821544817902506,0.028112851555037954,0.7149987602581678,0.30090765317561274,0.01869655133162662,dos
118,icmp,http,15035,36477,RSTO,0,2,0,4,4,0,9,0,1,7,1,1,4,0,180,169,0.13215184735055163,0.5991787868745995,0.875228737848594,0.4268932151465398,0.651787910332135,0.39547751559412125,0.7480914374787632,39,93,0.49874447509485575,0.2506665117602658,0.2008500592293746,0.26936284630269713,0.7555428121271006,0.8122855815423206,0.7175096336596148,0.619874189749277,dos
18,icmp,ftp,13136,152,SH,1,2,0,4,4,1,0,1,0,2,2,1,2,1,69,20,0.31701846322382354,0.6773755901419759,0.14460875561505027,0.7791710836950559,0.15160676147608843,0.010696044446446007,0.33457837219559494,243,24,0.194121931939657,0.10317365602241291,0.3163372514257774,0.14273758559389793,0.09994326133960574,0.645732104872925,0.652842329420613,0.15164114910364823,normal
187,icmp,smtp,3292,2850,SH,1,1,1,3,4,0,7,1,1,3,0,1,1,0,52,77,0.10258271838548139,0.12859761195614972,0.3396393155264339,0.7133460743232395,0.20340682675400668,0.7013202152455476,0.7199156634913872,0,169,0.35625832861720863,0.7043519734251692,0.2706285541846942,0.6692841661947893,0.843704419143485,0.31269399854721425,0.6839879686290946,0.914198298142612,dos
4,icmp,smtp,40908,8615,S0,0,0,1,3,1,0,4,1,0,9,1,1,3,0,142,117,0.04894930561958599,0.050624405390542804,0.9487089015426184,0.049129520982332364,0.3373712522618775,0.5720666373652005,0.9718870757802014,59,78,0.2648787165896037,0.7189452224282706,0.482580172131167,0.11697247892101059,0.6507294901157025,0.7695742447474838,0.3870044177454197,0.996073367289442,r2l
130,udp,ftp,14027,49645,REJ,0,2,0,1,2,1,9,0,0,4,0,0,2,0,75,46,0.3348452394270153,0.9815917640712687,0.3775321295570897,0.33483546948935794,0.19529443630219234,0.6323707767397585,0.28781677450494325,161,45,0.3252653790404094,0.8205312533827375,0.24703828728733734,0.12261978282999675,0.5266435633232502,0.1392120954258127,0.8598008190353356,0.15594695959295368,normal
77,icmp,http,8728,33741,SF,1,1,0,2,4,0,8,1,0,9,1,0,3,0,61,190,0.8514856148848292,0.09614341816297567,0.04057835047375391,0.19687755135769702,0.3852647766001698,0.005745011586273274,0.20590911431188208,127,184,0.5693961418773733,0.20188413518557546,0.7618256642753395,0.6461616832827917,0.9706051376260696,0.38333301643377227,0.010289396330157352,0.9509810223260909,dos
277,tcp,domain,3240,16330,SH,0,2,1,3,2,0,0,0,0,1,2,0,4,0,153,175,0.5765629369464548,0.06145921324649828,0.7771063845599301,0.13162050593794228,0.39885997429456277,0.23489346561881352,0.20921287376996922,5,233,0.7581967630778648,0.2090481431361132,0.9521892959727185,0.2654033691211456,0.34565905622425463,0.3232976723862595,0.04262059484914715,0.6182615970322313,r2l
76,icmp,http,33231,49665,SH,0,1,2,3,4,1,5,0,0,4,3,1,1,0,122,137,0.529134380430668,0.2238057052542345,0.928239419272935,0.26277681910940787,0.31484436802733007,0.5875602034553373,0.1265588598426446,4,142,0.05947091315453179,0.6457326976088549,0.45221452856913835,0.04121675486667031,0.650587243676727,0.2671699078803833,0.008810459619649769,0.895288532969713,dos
258,icmp,ssh,45603,35841,REJ,1,2,2,4,4,1,6,1,0,6,2,1,3,1,43,30,0.7562380034558951,0.8506791421388555,0.1948842133739659,0.19849494095261166,0.6062577228910495,0.5311047509959532,0.8220055421939695,130,172,0.5404014493471299,0.4267809552493772,0.4090364291275459,0.9589882470192944,0.9953102840586222,0.4158486253074519,0.8181716717722218,0.04454611283074783,probe
297,icmp,smtp,41749,25666,S0,0,2,2,4,4,1,9,0,1,2,2,1,3,0,198,83,0.07706809214812949,0.07856183061862287,0.4704694116950857,0.9580492232173666,0.9202770072232993,0.0590040099963679,0.20081680245076905,248,5,0.8649094157799933,0.7598343813244667,0.12013778265824515,0.9015778594285176,0.9660984572366459,0.313725144163313,0.8483173747087058,0.6005706435221755,u2r
226,icmp,http,49219,25159,SF,0,1,2,1,3,0,6,1,0,8,1,0,3,1,105,193,0.45056649121900505,0.6428715236075903,0.6584739232641206,0.1382923809801644,0.8162312245800857,0.4262259609472576,0.5384568197763666,184,239,0.49710199220490126,0.28448456577676595,0.5809975305658552,0.28593135914279455,0.2417056841052213,0.6861779629808538,0.5455503543482378,0.8589391042361773,u2r
